Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
10,[1456.0],[1338.0],[1053.0],[1456.0],[375.0],[1338.0],[1208.0],[30.0],[30.0],[226.0],[1345.0],[506.0],[226.0],[1476.0],[1077.0],[453.0],[1077.0],[846.0],[1288.0],[676.0],[479.0],[273.0],[1208.0],[1338.0],[1446.0],[375.0],[1456.0],[479.0],[1345.0],[1476.0],[273.0],[273.0],[1411.0],[1077.0],[1338.0],[753.0],[1416.0],[1053.0],[957.0],[479.0],[1345.0],[1208.0],[1446.0],[1446.0],[244.0],[957.0],[248.0],[642.0],[1338.0],[1166.0],[1338.0],[1077.0],[957.0],[479.0],[957.0],[139.0],[846.0],[1288.0],[1345.0],[676.0],[642.0],[479.0],[273.0],[1166.0],[162.0],[1476.0],[1053.0],[273.0],[248.0],[642.0],[1288.0],[1456.0],[1456.0],[1411.0],[479.0],[846.0],[905.0],[753.0],[1476.0],[1053.0],[1446.0],[1476.0],[957.0],[1166.0],[1053.0],[506.0],[957.0],[248.0],[162.0],[1166.0],[676.0],[1338.0],[479.0],[244.0],[1416.0],[162.0],[642.0],[957.0],[957.0],[248.0]
11,[642.0],[631.0],[553.0],[244.0],[226.0],[631.0],[631.0],[248.0],[1456.0],[1446.0],[642.0],[1166.0],[642.0],[226.0],[162.0],[479.0],[248.0],[753.0],[1416.0],[753.0],[1077.0],[846.0],[1411.0],[248.0],[248.0],[676.0],[1446.0],[1411.0],[506.0],[506.0],[1456.0],[375.0],[1345.0],[506.0],[248.0],[162.0],[1338.0],[905.0],[642.0],[676.0],[244.0],[375.0],[1338.0],[1411.0],[846.0],[226.0],[846.0],[1411.0],[30.0],[1345.0],[1345.0],[226.0],[226.0],[273.0],[676.0],[1456.0],[1456.0],[1446.0],[479.0],[248.0],[631.0],[226.0],[30.0],[479.0],[1053.0],[226.0],[1345.0],[642.0],[1208.0],[1456.0],[846.0],[375.0],[957.0],[1053.0],[453.0],[631.0],[753.0],[139.0],[846.0],[753.0],[957.0],[753.0],[273.0],[1345.0],[642.0],[30.0],[1338.0],[1345.0],[1411.0],[1345.0],[244.0],[453.0],[631.0],[375.0],[905.0],[1476.0],[244.0],[905.0],[1077.0],[846.0]
12,[1416.0],[248.0],[1338.0],[226.0],[1446.0],[676.0],[1411.0],[1288.0],[1416.0],[1345.0],[905.0],[1208.0],[244.0],[1166.0],[1456.0],[273.0],[957.0],[1288.0],[1446.0],[642.0],[1345.0],[162.0],[506.0],[1411.0],[1411.0],[226.0],[1053.0],[1345.0],[642.0],[1338.0],[30.0],[631.0],[248.0],[30.0],[676.0],[1345.0],[1456.0],[957.0],[1476.0],[1288.0],[753.0],[453.0],[244.0],[479.0],[226.0],[506.0],[642.0],[506.0],[1288.0],[162.0],[1208.0],[631.0],[1411.0],[1338.0],[1208.0],[642.0],[226.0],[162.0],[676.0],[1416.0],[453.0],[1338.0],[846.0],[676.0],[676.0],[846.0],[248.0],[1416.0],[1166.0],[846.0],[453.0],[676.0],[846.0],[30.0],[139.0],[676.0],[553.0],[1338.0],[957.0],[631.0],[1208.0],[1446.0],[1053.0],[642.0],[479.0],[1077.0],[453.0],[1456.0],[1476.0],[1338.0],[226.0],[631.0],[1446.0],[1077.0],[631.0],[1338.0],[846.0],[1345.0],[479.0],[1476.0]
13,[1166.0],[957.0],[1476.0],[248.0],[631.0],[375.0],[506.0],[905.0],[226.0],[1411.0],[162.0],[375.0],[162.0],[1411.0],[244.0],[162.0],[1208.0],[1077.0],[631.0],[248.0],[139.0],[631.0],[642.0],[30.0],[30.0],[1476.0],[1345.0],[162.0],[139.0],[753.0],[905.0],[506.0],[553.0],[753.0],[506.0],[846.0],[1208.0],[1345.0],[1416.0],[631.0],[1053.0],[1345.0],[226.0],[553.0],[30.0],[1288.0],[1288.0],[957.0],[957.0],[1476.0],[1077.0],[1345.0],[1288.0],[631.0],[453.0],[1338.0],[139.0],[226.0],[753.0],[753.0],[248.0],[30.0],[753.0],[553.0],[1077.0],[273.0],[1456.0],[846.0],[1345.0],[1077.0],[162.0],[1345.0],[753.0],[1288.0],[642.0],[1338.0],[248.0],[1476.0],[1077.0],[1166.0],[1077.0],[30.0],[1345.0],[1416.0],[631.0],[1053.0],[226.0],[162.0],[957.0],[1288.0],[1345.0],[1476.0],[162.0],[1166.0],[676.0],[1456.0],[506.0],[30.0],[1446.0],[1446.0]
14,[1208.0],[139.0],[1411.0],[1345.0],[1416.0],[1411.0],[1338.0],[1053.0],[1338.0],[1476.0],[1077.0],[30.0],[1166.0],[375.0],[1416.0],[957.0],[642.0],[226.0],[506.0],[226.0],[1456.0],[676.0],[1053.0],[139.0],[676.0],[1208.0],[506.0],[846.0],[273.0],[957.0],[642.0],[244.0],[375.0],[1166.0],[1053.0],[1456.0],[753.0],[1288.0],[1411.0],[1338.0],[642.0],[1416.0],[1411.0],[1077.0],[1166.0],[1338.0],[957.0],[139.0],[479.0],[273.0],[479.0],[248.0],[1166.0],[162.0],[1476.0],[957.0],[479.0],[642.0],[1166.0],[375.0],[1416.0],[1166.0],[957.0],[846.0],[957.0],[1416.0],[631.0],[905.0],[506.0],[1476.0],[375.0],[162.0],[453.0],[244.0],[244.0],[1077.0],[375.0],[1166.0],[162.0],[273.0],[139.0],[226.0],[375.0],[244.0],[1166.0],[1411.0],[642.0],[30.0],[375.0],[273.0],[248.0],[676.0],[905.0],[553.0],[1411.0],[30.0],[226.0],[1446.0],[753.0],[30.0]
15,[1077.0],[453.0],[1288.0],[1476.0],[1053.0],[642.0],[30.0],[753.0],[244.0],[506.0],[1416.0],[1476.0],[1345.0],[905.0],[375.0],[631.0],[1288.0],[139.0],[30.0],[139.0],[244.0],[375.0],[1077.0],[453.0],[1338.0],[162.0],[273.0],[1338.0],[1077.0],[905.0],[1338.0],[676.0],[753.0],[1288.0],[1476.0],[479.0],[631.0],[1456.0],[1345.0],[453.0],[1338.0],[1053.0],[139.0],[30.0],[1338.0],[1476.0],[1077.0],[753.0],[1077.0],[1053.0],[676.0],[162.0],[273.0],[375.0],[139.0],[1416.0],[1288.0],[1053.0],[642.0],[1446.0],[273.0],[642.0],[1416.0],[642.0],[139.0],[1288.0],[1166.0],[1411.0],[631.0],[753.0],[1446.0],[753.0],[1053.0],[1077.0],[1053.0],[30.0],[1345.0],[1416.0],[30.0],[1345.0],[375.0],[1077.0],[1288.0],[248.0],[273.0],[1166.0],[479.0],[957.0],[139.0],[1476.0],[642.0],[273.0],[846.0],[1416.0],[1345.0],[1288.0],[1476.0],[244.0],[1456.0],[244.0]
16,[479.0],[1416.0],[753.0],[453.0],[676.0],[1077.0],[1456.0],[631.0],[905.0],[1456.0],[226.0],[553.0],[453.0],[1446.0],[273.0],[846.0],[375.0],[273.0],[375.0],[273.0],[1208.0],[553.0],[957.0],[273.0],[1416.0],[479.0],[676.0],[905.0],[753.0],[631.0],[1077.0],[905.0],[1446.0],[244.0],[1446.0],[244.0],[453.0],[631.0],[139.0],[273.0],[1208.0],[1456.0],[846.0],[1053.0],[1416.0],[1411.0],[1053.0],[244.0],[676.0],[1446.0],[1166.0],[905.0],[453.0],[676.0],[273.0],[506.0],[30.0],[1416.0],[1338.0],[273.0],[1476.0],[1446.0],[1446.0],[506.0],[506.0],[553.0],[162.0],[1345.0],[162.0],[553.0],[273.0],[1338.0],[30.0],[479.0],[753.0],[1053.0],[631.0],[1053.0],[753.0],[479.0],[30.0],[479.0],[506.0],[139.0],[905.0],[375.0],[506.0],[905.0],[479.0],[957.0],[1456.0],[244.0],[1338.0],[1345.0],[453.0],[753.0],[1166.0],[1456.0],[226.0],[631.0]
17,[1476.0],[273.0],[273.0],[1416.0],[753.0],[753.0],[479.0],[1446.0],[139.0],[1053.0],[553.0],[1411.0],[375.0],[453.0],[1411.0],[248.0],[453.0],[375.0],[1456.0],[1166.0],[226.0],[753.0],[1166.0],[375.0],[479.0],[1338.0],[375.0],[631.0],[1053.0],[1411.0],[1166.0],[139.0],[642.0],[905.0],[226.0],[553.0],[905.0],[226.0],[676.0],[1476.0],[846.0],[1446.0],[1288.0],[1208.0],[642.0],[1416.0],[753.0],[453.0],[1208.0],[1416.0],[30.0],[1288.0],[1456.0],[1345.0],[162.0],[162.0],[1446.0],[753.0],[1416.0],[139.0],[905.0],[139.0],[1476.0],[905.0],[1476.0],[1077.0],[479.0],[753.0],[753.0],[1053.0],[676.0],[1077.0],[1345.0],[631.0],[1446.0],[139.0],[1288.0],[1446.0],[375.0],[905.0],[479.0],[957.0],[846.0],[375.0],[162.0],[273.0],[553.0],[453.0],[506.0],[553.0],[753.0],[1416.0],[506.0],[957.0],[248.0],[846.0],[1416.0],[1411.0],[846.0],[753.0]
18,[1053.0],[506.0],[676.0],[30.0],[553.0],[1446.0],[453.0],[226.0],[642.0],[631.0],[957.0],[846.0],[248.0],[273.0],[248.0],[139.0],[162.0],[1053.0],[453.0],[479.0],[676.0],[1077.0],[226.0],[905.0],[453.0],[1446.0],[753.0],[139.0],[375.0],[1077.0],[1476.0],[30.0],[1416.0],[375.0],[162.0],[1288.0],[1077.0],[162.0],[631.0],[506.0],[479.0],[30.0],[479.0],[1476.0],[273.0],[453.0],[30.0],[162.0],[244.0],[244.0],[753.0],[1416.0],[1476.0],[506.0],[248.0],[631.0],[642.0],[905.0],[1411.0],[1456.0],[244.0],[1476.0],[1411.0],[1476.0],[244.0],[1166.0],[506.0],[479.0],[957.0],[30.0],[1166.0],[1288.0],[1208.0],[453.0],[30.0],[1288.0],[676.0],[226.0],[453.0],[1476.0],[1411.0],[905.0],[905.0],[273.0],[1411.0],[553.0],[846.0],[642.0],[30.0],[1446.0],[506.0],[139.0],[248.0],[642.0],[162.0],[1077.0],[248.0],[453.0],[553.0],[1456.0]
19,[1411.0],[1411.0],[453.0],[905.0],[957.0],[248.0],[1476.0],[1411.0],[1053.0],[753.0],[139.0],[453.0],[273.0],[1345.0],[1208.0],[905.0],[553.0],[1456.0],[1053.0],[1053.0],[753.0],[1456.0],[139.0],[846.0],[553.0],[244.0],[846.0],[1476.0],[1476.0],[226.0],[1446.0],[1053.0],[226.0],[453.0],[244.0],[957.0],[1476.0],[139.0],[506.0],[1411.0],[1416.0],[1411.0],[1416.0],[248.0],[1053.0],[273.0],[226.0],[1476.0],[162.0],[1077.0],[631.0],[479.0],[248.0],[1446.0],[1345.0],[226.0],[553.0],[553.0],[1077.0],[553.0],[957.0],[244.0],[226.0],[1416.0],[1411.0],[905.0],[1288.0],[1208.0],[676.0],[905.0],[1411.0],[1476.0],[1166.0],[248.0],[1208.0],[957.0],[453.0],[642.0],[226.0],[957.0],[162.0],[1456.0],[139.0],[226.0],[248.0],[1338.0],[162.0],[375.0],[631.0],[244.0],[453.0],[479.0],[226.0],[846.0],[375.0],[1166.0],[553.0],[1476.0],[1166.0],[273.0]
20,[453.0],[753.0],[1446.0],[1166.0],[248.0],[1416.0],[753.0],[553.0],[506.0],[957.0],[1338.0],[631.0],[479.0],[248.0],[553.0],[375.0],[479.0],[453.0],[139.0],[162.0],[1446.0],[1476.0],[453.0],[1053.0],[375.0],[1411.0],[244.0],[1208.0],[1166.0],[1208.0],[1345.0],[226.0],[846.0],[248.0],[553.0],[676.0],[642.0],[1476.0],[846.0],[1208.0],[1456.0],[631.0],[506.0],[642.0],[139.0],[1456.0],[1208.0],[30.0],[642.0],[1456.0],[506.0],[642.0],[375.0],[1411.0],[375.0],[846.0],[1416.0],[1345.0],[553.0],[1053.0],[162.0],[1456.0],[1053.0],[1446.0],[375.0],[375.0],[1446.0],[453.0],[905.0],[226.0],[506.0],[453.0],[248.0],[1345.0],[1077.0],[753.0],[1446.0],[1345.0],[1416.0],[162.0],[453.0],[642.0],[1208.0],[1456.0],[30.0],[226.0],[1053.0],[1411.0],[676.0],[1456.0],[1476.0],[30.0],[1476.0],[1446.0],[1476.0],[957.0],[1345.0],[676.0],[244.0],[1077.0]
21,[846.0],[375.0],[1077.0],[846.0],[1208.0],[30.0],[1345.0],[846.0],[1208.0],[453.0],[1446.0],[248.0],[1208.0],[1077.0],[1476.0],[1476.0],[631.0],[30.0],[905.0],[846.0],[506.0],[226.0],[248.0],[676.0],[226.0],[1053.0],[1077.0],[676.0],[1338.0],[1288.0],[1288.0],[1476.0],[1077.0],[162.0],[1456.0],[1053.0],[375.0],[1411.0],[453.0],[30.0],[273.0],[479.0],[1053.0],[905.0],[375.0],[248.0],[139.0],[846.0],[1416.0],[753.0],[273.0],[1053.0],[30.0],[1476.0],[753.0],[753.0],[905.0],[1456.0],[248.0],[642.0],[553.0],[273.0],[248.0],[139.0],[1166.0],[248.0],[226.0],[676.0],[244.0],[162.0],[1345.0],[244.0],[1416.0],[1166.0],[162.0],[1476.0],[479.0],[248.0],[1208.0],[1338.0],[1053.0],[273.0],[753.0],[1476.0],[139.0],[139.0],[1456.0],[553.0],[248.0],[162.0],[1338.0],[957.0],[753.0],[139.0],[1338.0],[1416.0],[1338.0],[506.0],[1338.0],[1416.0]
22,[1288.0],[846.0],[1456.0],[1338.0],[1476.0],[1208.0],[139.0],[139.0],[453.0],[139.0],[479.0],[244.0],[506.0],[1456.0],[1345.0],[642.0],[226.0],[162.0],[479.0],[957.0],[1476.0],[139.0],[1446.0],[506.0],[273.0],[1077.0],[905.0],[753.0],[226.0],[1053.0],[479.0],[479.0],[273.0],[1208.0],[479.0],[1338.0],[1345.0],[506.0],[375.0],[1456.0],[248.0],[553.0],[162.0],[753.0],[553.0],[753.0],[676.0],[1208.0],[273.0],[676.0],[957.0],[1411.0],[1077.0],[642.0],[642.0],[479.0],[676.0],[30.0],[1476.0],[1411.0],[506.0],[1053.0],[1288.0],[1208.0],[1345.0],[30.0],[846.0],[248.0],[1446.0],[453.0],[1338.0],[479.0],[553.0],[375.0],[676.0],[453.0],[957.0],[905.0],[1345.0],[1446.0],[273.0],[1338.0],[248.0],[753.0],[957.0],[846.0],[1476.0],[676.0],[1077.0],[248.0],[957.0],[1208.0],[30.0],[905.0],[139.0],[631.0],[375.0],[375.0],[273.0],[1345.0]
